ano;mes;CISP1 (Praça Mauá);CISP4 (Praça da República);CISP5 (Mem de Sá);CISP6 (Cidade Nova);CISP7 (Santa Teresa);CISP9 (Catete);CISP10 (Botafogo);CISP11 (Rocinha);CISP12 (Copacaba);CISP13 (Ipanema);CISP14 (Leblon);CISP15 (Gávea);CISP16 (Barra da Tijuca);CISP17 (São Cristovão);CISP18 (Praça da Bandeira);CISP19 (Tijuca);CISP20 (Vila Isabel);CISP21 (Bonsucesso);CISP22 (Penha);CISP23 (Méier);CISP24 (Piedade);CISP25 (Engenho Novo);CISP26 (Todos os Santos);CISP27 (Vicente de Carvalho);CISP28 (Praça de Seca);CISP29 (Madureira);CISP30 (Marechal Hermes);CISP31 (Ricardo de Albuquerque);CISP32 (Taquara);CISP33 (Realengo);CISP34 (Bangu);CISP35 (Campo Grande);CISP36 (Santa Cruz);CISP37 (Ilha do governador);CISP38 (Brás de Pina);CISP39 (Pavuna);CISP40 (Honório Gurgel);CISP41 (Tanque);CISP42 (Recreio dos Bandeirantes);CISP43 (Guaratiba);CISP44 (Inhaúma);CISP45 (Complexo do Alemão);CISP48 (Seropédica);CISP50 (Itaguaí);CISP51 (Paracambi);CISP52 (Nova Iguaçu);CISP53 (Mesquita);CISP54 (Belford Roxo);CISP55 (Queimados);CISP56 (Comendador Soares);CISP57 (Nilópolis);CISP58 (Posse);CISP59 (Duque de Caxias);CISP60 (Campos Elíseos);CISP61 (Xerém);CISP62 (Imbariê);CISP63 (Japeri);CISP64 (São João de Meriti);CISP65 (Magé);CISP66 (Piabetá);CISP67 (Guapimirim);CISP70 (Tanguá);CISP71 (Itaborí);CISP72 (São Gonçalo);CISP73 (Neves);CISP74 (Alcântara);CISP75 (Rio do Ouro);CISP76 (Niterói);CISP77 (Icaraí);CISP78 (Fonseca);CISP79 (Juruba);CISP81 (Itaipu);CISP82 (Maricá);CISP88 (Barra do Piraí);CISP89 (Resende);CISP90 (Barra Mansa);CISP91 (Valença);CISP92 (Rio das Flores);CISP93 (Volta Redonda);CISP94 (Piraí);CISP95 (Vassouras);CISP96 (Miguel Pereira);CISP97 (Mendes);CISP98 (Engenheiro Paulo de Frontin);CISP99 (Itatiaia);CISP100 (Porto Real);CISP101 (Pinheiral);CISP104 (São José do Vale do Rio Preto);CISP105 (Petrópolis);CISP106 (Itaipava);CISP107 (Paraíba do Sul);CISP108 (Três Rios);CISP109 (Sapucaia);CISP110 (Teresópolis);CISP111 (Sumidouro);CISP112 (Carmo);CISP118 (Araruma);CISP119 (Rio Bonito);CISP120 (Silva Jardim);CISP121 (Casimiro de Abreu);CISP122 (Conceição de Macabu);CISP123 (Macaé);CISP124 (Saquarema);CISP125 (São Pedro da Aldeia);CISP126 (Cabo Frio);CISP127 (Armação de Búzios);CISP128 (Rio das Ostras);CISP129 (Iguaba Grande);CISP130 (Quissamã);CISP132 (Arraial do cabo);CISP134 (Campos);CISP135 (Itaocara);CISP136 (Santo Antônio de Pádua);CISP137 (Miracema);CISP138 (Laje do Muriaé);CISP139 (Porciúncula);CISP140 (Natividade);CISP141 (São Fidelis);CISP142 (Cambuci);CISP143 (Itaperuna);CISP144 (Bom Jesus do Itabapoana);CISP145 (São João da Barra);CISP146 (Guarus);CISP147 (São Francisco de Itabapoana);CISP148 (Italva);CISP151 (Nova Friburgo);CISP152 (Duas Barras);CISP153 (Cantagalo);CISP154 (Cordeiro);CISP155 (São Sebastião do Alto);CISP156 (Santa Maria Madalena);CISP157 (Trajano de Moraes);CISP158 (Bom jardim);CISP159 (Cachoeira de Macacu);CISP165 (Mangaratiba);CISP166 (Angra dos Reis);CISP167 (Paraty);CISP168 (Claro)
2013;1;5.0;2.0;1.0;2.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;6.0;0.0;3.0;1.0;6.0;8.0;3.0;3.0;4.0;2.0;1.0;1.0;1.0;3.0;9.0;1.0;3.0;9.0;6.0;0.0;2.0;9.0;13.0;4.0;2.0;0.0;4.0;0.0;;3.0;0.0;0.0;10.0;1.0;22.0;0.0;8.0;2.0;19.0;41.0;11.0;2.0;3.0;0.0;20.0;2.0;0.0;0.0;0.0;6.0;22.0;12.0;15.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;2;1.0;0.0;3.0;1.0;1.0;0.0;0.0;;1.0;0.0;0.0;0.0;2.0;2.0;2.0;4.0;3.0;5.0;7.0;2.0;0.0;1.0;0.0;2.0;1.0;2.0;2.0;4.0;0.0;3.0;10.0;14.0;1.0;0.0;12.0;15.0;1.0;0.0;2.0;0.0;1.0;;3.0;0.0;1.0;10.0;3.0;21.0;2.0;6.0;2.0;13.0;19.0;10.0;1.0;2.0;1.0;16.0;3.0;1.0;0.0;0.0;0.0;15.0;4.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2013;3;1.0;0.0;2.0;1.0;0.0;0.0;1.0;;1.0;0.0;0.0;1.0;0.0;5.0;0.0;3.0;3.0;3.0;7.0;3.0;2.0;3.0;4.0;2.0;3.0;0.0;3.0;5.0;3.0;1.0;3.0;11.0;3.0;1.0;15.0;14.0;4.0;0.0;0.0;1.0;1.0;;3.0;0.0;1.0;7.0;2.0;18.0;5.0;4.0;2.0;11.0;20.0;9.0;2.0;6.0;0.0;15.0;2.0;0.0;2.0;2.0;3.0;9.0;4.0;3.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;4;2.0;0.0;0.0;2.0;0.0;1.0;2.0;;0.0;0.0;0.0;0.0;1.0;7.0;1.0;2.0;0.0;3.0;3.0;3.0;3.0;3.0;3.0;6.0;4.0;4.0;2.0;2.0;0.0;7.0;19.0;11.0;2.0;3.0;8.0;18.0;0.0;0.0;3.0;0.0;0.0;;2.0;0.0;1.0;15.0;3.0;14.0;4.0;3.0;4.0;6.0;26.0;6.0;3.0;6.0;0.0;23.0;2.0;1.0;0.0;1.0;1.0;6.0;5.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;3.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
2013;5;0.0;2.0;3.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;8.0;1.0;6.0;3.0;5.0;7.0;3.0;7.0;1.0;2.0;3.0;1.0;3.0;1.0;5.0;1.0;5.0;19.0;18.0;0.0;1.0;13.0;23.0;2.0;1.0;0.0;0.0;1.0;;2.0;0.0;2.0;18.0;2.0;19.0;2.0;2.0;3.0;2.0;34.0;0.0;0.0;4.0;0.0;25.0;3.0;0.0;0.0;0.0;1.0;8.0;8.0;6.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;6;1.0;1.0;1.0;4.0;0.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;6.0;11.0;1.0;5.0;4.0;1.0;1.0;1.0;3.0;0.0;3.0;1.0;9.0;17.0;13.0;2.0;0.0;7.0;16.0;3.0;0.0;1.0;1.0;2.0;;1.0;1.0;0.0;6.0;1.0;12.0;2.0;4.0;4.0;1.0;21.0;4.0;0.0;4.0;0.0;14.0;1.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;0.0;3.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;7;1.0;1.0;1.0;2.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;5.0;5.0;1.0;4.0;4.0;1.0;4.0;4.0;3.0;1.0;4.0;2.0;4.0;19.0;11.0;2.0;0.0;6.0;27.0;7.0;0.0;1.0;3.0;3.0;;1.0;0.0;2.0;10.0;3.0;9.0;0.0;6.0;4.0;2.0;22.0;2.0;0.0;8.0;0.0;17.0;1.0;1.0;0.0;0.0;1.0;3.0;3.0;1.0;1.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2013;8;3.0;0.0;2.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;7.0;8.0;3.0;7.0;4.0;2.0;6.0;2.0;5.0;4.0;3.0;2.0;7.0;24.0;3.0;4.0;2.0;20.0;14.0;3.0;1.0;0.0;0.0;4.0;;0.0;2.0;0.0;12.0;1.0;14.0;4.0;6.0;3.0;3.0;24.0;6.0;0.0;3.0;0.0;15.0;2.0;0.0;1.0;0.0;0.0;2.0;10.0;8.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;2.0;0.0;3.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;9;2.0;0.0;3.0;2.0;0.0;1.0;0.0;;1.0;1.0;0.0;1.0;0.0;6.0;0.0;3.0;0.0;2.0;5.0;3.0;5.0;7.0;3.0;4.0;3.0;1.0;4.0;3.0;1.0;11.0;15.0;5.0;3.0;0.0;13.0;16.0;4.0;0.0;0.0;1.0;7.0;;0.0;2.0;1.0;8.0;0.0;10.0;4.0;5.0;8.0;5.0;22.0;5.0;1.0;4.0;0.0;15.0;3.0;1.0;1.0;1.0;1.0;6.0;14.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;10;4.0;1.0;2.0;3.0;0.0;0.0;1.0;;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;10.0;5.0;1.0;11.0;8.0;3.0;3.0;0.0;2.0;0.0;3.0;4.0;3.0;24.0;5.0;3.0;2.0;15.0;31.0;3.0;1.0;0.0;1.0;4.0;;1.0;2.0;4.0;6.0;2.0;14.0;1.0;9.0;6.0;6.0;20.0;7.0;0.0;2.0;0.0;11.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;2.0;0.0;7.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2013;11;4.0;1.0;3.0;3.0;1.0;0.0;1.0;;0.0;1.0;1.0;0.0;1.0;5.0;1.0;4.0;3.0;8.0;11.0;2.0;3.0;3.0;0.0;5.0;0.0;3.0;3.0;9.0;4.0;6.0;13.0;8.0;1.0;1.0;17.0;43.0;5.0;0.0;1.0;0.0;1.0;;2.0;1.0;1.0;7.0;1.0;18.0;1.0;5.0;3.0;1.0;25.0;11.0;0.0;2.0;2.0;17.0;0.0;0.0;2.0;0.0;0.0;1.0;6.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;12;2.0;1.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;3.0;11.0;19.0;3.0;4.0;7.0;3.0;8.0;1.0;7.0;8.0;15.0;4.0;8.0;14.0;13.0;5.0;3.0;20.0;73.0;10.0;1.0;0.0;1.0;12.0;0.0;2.0;0.0;1.0;6.0;2.0;27.0;2.0;8.0;7.0;6.0;19.0;9.0;1.0;4.0;0.0;15.0;1.0;1.0;0.0;0.0;2.0;3.0;8.0;5.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2014;1;5.0;3.0;3.0;3.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;16.0;0.0;4.0;16.0;11.0;9.0;5.0;7.0;9.0;6.0;6.0;1.0;1.0;8.0;7.0;3.0;7.0;20.0;13.0;4.0;2.0;26.0;65.0;6.0;2.0;1.0;1.0;8.0;0.0;4.0;0.0;0.0;8.0;3.0;23.0;2.0;4.0;5.0;12.0;30.0;19.0;1.0;7.0;0.0;17.0;0.0;0.0;0.0;0.0;2.0;12.0;7.0;12.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2014;2;4.0;2.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;3.0;2.0;2.0;5.0;17.0;15.0;3.0;5.0;5.0;3.0;11.0;2.0;2.0;6.0;14.0;4.0;12.0;23.0;7.0;2.0;1.0;27.0;39.0;8.0;0.0;1.0;0.0;4.0;0.0;2.0;2.0;1.0;8.0;2.0;9.0;0.0;3.0;3.0;4.0;35.0;18.0;1.0;15.0;0.0;20.0;2.0;0.0;0.0;0.0;1.0;7.0;8.0;8.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2014;3;3.0;3.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;2.0;6.0;2.0;0.0;5.0;13.0;7.0;3.0;6.0;5.0;4.0;12.0;1.0;6.0;5.0;11.0;4.0;4.0;19.0;11.0;1.0;1.0;24.0;40.0;10.0;1.0;0.0;0.0;7.0;1.0;2.0;0.0;3.0;8.0;2.0;12.0;0.0;2.0;7.0;3.0;37.0;6.0;2.0;8.0;2.0;20.0;1.0;0.0;0.0;0.0;1.0;10.0;4.0;6.0;5.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
2014;4;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;10.0;1.0;1.0;2.0;17.0;9.0;5.0;3.0;7.0;3.0;10.0;8.0;3.0;4.0;3.0;5.0;5.0;14.0;6.0;1.0;3.0;18.0;39.0;6.0;2.0;1.0;0.0;3.0;2.0;0.0;1.0;0.0;7.0;1.0;17.0;0.0;6.0;9.0;6.0;32.0;13.0;2.0;9.0;2.0;23.0;1.0;1.0;0.0;0.0;1.0;4.0;5.0;10.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;5;5.0;3.0;4.0;3.0;0.0;1.0;0.0;2.0;2.0;0.0;3.0;1.0;3.0;2.0;3.0;2.0;5.0;17.0;9.0;7.0;6.0;11.0;2.0;16.0;1.0;4.0;5.0;7.0;8.0;6.0;29.0;10.0;3.0;3.0;27.0;43.0;9.0;3.0;1.0;3.0;5.0;5.0;1.0;0.0;2.0;11.0;6.0;23.0;2.0;2.0;14.0;11.0;26.0;20.0;1.0;3.0;0.0;21.0;3.0;1.0;0.0;0.0;4.0;18.0;13.0;15.0;5.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;4.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;6;3.0;1.0;4.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;7.0;2.0;1.0;0.0;6.0;14.0;0.0;5.0;2.0;2.0;4.0;0.0;6.0;5.0;9.0;2.0;7.0;26.0;12.0;7.0;0.0;19.0;57.0;9.0;0.0;1.0;0.0;4.0;0.0;1.0;0.0;0.0;9.0;4.0;16.0;0.0;1.0;10.0;6.0;20.0;3.0;3.0;0.0;0.0;16.0;1.0;1.0;0.0;2.0;1.0;15.0;9.0;15.0;2.0;2.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;7;9.0;1.0;7.0;1.0;1.0;2.0;0.0;1.0;2.0;1.0;1.0;0.0;5.0;14.0;5.0;1.0;0.0;14.0;8.0;2.0;6.0;6.0;0.0;9.0;4.0;4.0;3.0;4.0;2.0;6.0;16.0;12.0;3.0;2.0;15.0;41.0;7.0;1.0;0.0;0.0;9.0;2.0;2.0;2.0;1.0;7.0;8.0;6.0;1.0;4.0;17.0;8.0;19.0;6.0;2.0;7.0;0.0;28.0;0.0;1.0;0.0;0.0;1.0;18.0;14.0;23.0;6.0;3.0;2.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0
2014;8;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;2.0;0.0;1.0;0.0;16.0;13.0;5.0;8.0;4.0;6.0;7.0;3.0;11.0;11.0;8.0;4.0;6.0;13.0;14.0;3.0;4.0;21.0;39.0;11.0;0.0;1.0;1.0;9.0;1.0;8.0;0.0;2.0;7.0;3.0;11.0;3.0;7.0;8.0;2.0;26.0;12.0;0.0;2.0;2.0;21.0;3.0;1.0;1.0;0.0;1.0;32.0;13.0;18.0;3.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
2014;9;1.0;2.0;4.0;4.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;7.0;0.0;1.0;2.0;30.0;12.0;3.0;2.0;8.0;2.0;8.0;6.0;6.0;7.0;7.0;5.0;18.0;26.0;37.0;7.0;5.0;16.0;42.0;16.0;2.0;1.0;2.0;7.0;1.0;6.0;1.0;4.0;9.0;4.0;28.0;3.0;5.0;5.0;9.0;26.0;2.0;1.0;2.0;3.0;20.0;1.0;0.0;0.0;0.0;0.0;11.0;8.0;9.0;2.0;2.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
